
Buscar...
Código	Nombre	Estado	Cuenta Compras	Cuenta Ventas	Stock	Precio de Ultima Compra	Precio de Venta por Defecto	Etiqueta	Acciones
7288156301184	TEE 25-25-25 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9665097237643	TEE 25-25-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.118,30	$ 0,00		  
5214630341996	TEE 25-20-16 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
8598610131117	TEE 25-16-25 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
4131624615500	TEE 25-16-20 TIEMME		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
1229895576427	SEPARADOR HIDRÁULICO CALEFFI 56M3		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.715.200,00	$ 0,00		  
3145576794258	VASO DE EXPANSIÓN ELBI - TRIANGULAR ER CE 50 (50 LITROS)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 206.307,00	$ 0,00		  
5478917262935	BOMBA CIRCULADORA WILO BM 40/120 - 1,2 - 2		Costo de Mercaderia Vendida	Ventas Brutas de Servicios		$ 1.386.312,48	$ 0,00		  
2803967541	OBRAS		Costo de Mercaderia Vendida	Ventas Brutas de Servicios		$ 230.000,00	$ 0,00		  
1952876166250	Mano de Obra Mantenimiento Preventivo servicio de calefacción		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
305705478006	Descuentos por Ventas		Descuentos por Ventas	Descuentos por Ventas		$ 8,82	$ 0,00		  
717535751348	Tarjetas de Credito a Cobrar		Créditos por Ventas	Créditos por Ventas		$ 0,00	$ 0,00		  
8860699709177	VALVULA MICROMETRICA ESCUADRA - R705X013 - GIACOMINI		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 8.138,51	$ 0,00		  
5872772756049	DETENTOR ESCUADRA GIACOMINI 1/2&quot; R16X033 (RETORNO)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 7.559,09	$ 0,00		  
1201321971756	Niple de acero Inoxidable 8cm 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.300,05	$ 0,00		  
5569231475259	Roseta Embellecedor para niple de 1/2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 293,00	$ 0,00		  
6474032296387	TERMOSTATO TRIANGULAR DIGITAL STANDARD A PILAS MITRA 260S		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 46.494,00	$ 90.200,00		  
